Node,Category
ARTISTAS,TEMA
Olafur Eliasson,Artist
Zaha Hadid,Artist
James Turrell,Artist
Tadao Ando,Artist
Mies van der Rohe,Artist
Frank Gehry,Artist
Santiago Calatrava,Artist
Damien Hirst,Artist
Jean-Michel Basquiat,Artist
Antoni Gaudí,Artist
Claude Monet,Artist
I. M. Pei,Artist
Roy Lichtenstein,Artist
Andy Warhol,Artist
Salvador Dalí,Artist
Pablo Picasso,Artist
VISUAL ARTIST,TYPE OF ARTIST
ARCHITECT,TYPE OF ARTIST
PAINTER,TYPE OF ARTIST
Light and Space,STYLE
Deconstructivism,STYLE
Minimalism,STYLE
Modernism,STYLE
Structural Expressionism,STYLE
Young British Artists (YBA),STYLE
Neo-Expressionism,STYLE
Catalan Modernism,STYLE
Impressionism,STYLE
Pop Art,STYLE
Surrealism,STYLE
Cubism,STYLE
Percepción y Espacio,PHILOSOPHY
Arte Conceptual y Provocador,PHILOSOPHY
Exploración de lo Subconsciente,PHILOSOPHY
