ORIGEN,DESTINO
ARTISTAS,TAYLOR SWIFT
ARTISTAS,BAD BUNNY
ARTISTAS,THE WEEKEND
ARTISTAS,DRAKE
ARTISTAS,PESO PLUMA
ARTISTAS,FEID
ARTISTAS,TRAVIS SCOTT
ARTISTAS,BILLIE EILISH
ARTISTAS,KAROL G
ARTISTAS,LANA DEL REY
ARTISTAS,ARIANA GRANDE
ARTISTAS,SZA
ARTISTAS,KANEY WEST
TAYLOR SWIFT,POP
BAD BUNNY,REGGAETÓN
THE WEEKEND,POP
DRAKE,RAP
PESO PLUMA,CORRIDOS TUMBADOS
FEID,REGGAETÓN
TRAVIS SCOTT,RAP
BILLIE EILISH,POP
KAROL G,REGGAETÓN
LANA DEL REY,POP
ARIANA GRANDE,POP
SZA,R&B
KANEY WEST,RAP
TAYLOR SWIFT,2023
TAYLOR SWIFT,2024
BAD BUNNY,2023
BAD BUNNY,2024
THE WEEKEND,2023
THE WEEKEND,2024
DRAKE,2023
DRAKE,2024
PESO PLUMA,2023
PESO PLUMA,2024
FEID,2023
FEID,2024
TRAVIS SCOTT,2023
TRAVIS SCOTT,2024
BILLIE EILISH,2023
KAROL G,2023
KAROL G,2024
LANA DEL REY,2023
ARIANA GRANDE,NO DIÓ CONCIERTOS
SZA,2023
SZA,2024
KANEY WEST,NO DIÓ CONCIERTOS
,
BAD BUNNY,ESTADOS UNIDOS
BAD BUNNY,MÉXICO
BAD BUNNY,REPÚBLICA DOMINICANA
BAD BUNNY,CHILE
BAD BUNNY,ARGENTINA
BAD BUNNY,COLOMBIA
BAD BUNNY,ECUADOR
BAD BUNNY,PANAMÁ
BAD BUNNY,COSTA RICA
BAD BUNNY,HONDURAS
BAD BUNNY,EL SALVADOR
BAD BUNNY,GUATEMALA
BAD BUNNY,PUERTO RICO
BAD BUNNY,ESPAÑA
BAD BUNNY,CANADÁ
THE WEEKEND,PORTUGAL
THE WEEKEND,REINO UNIDO
THE WEEKEND,DINAMARCA
THE WEEKEND,SUECIA
THE WEEKEND,NORUEGA
THE WEEKEND,PAÍSES BAJOS
THE WEEKEND,IRLANDA
THE WEEKEND,ALEMANIA
THE WEEKEND,BÉLGICA
THE WEEKEND,ESPAÑA
THE WEEKEND,FRANCIA
THE WEEKEND,ITALIA
THE WEEKEND,REPÚBLICA CHECA
THE WEEKEND,POLONIA
THE WEEKEND,ESTONIA
THE WEEKEND,AMÉRICA LATINA
THE WEEKEND,MÉXICO
THE WEEKEND,BRASIL
THE WEEKEND,CHILE
THE WEEKEND,ARGENTINA
THE WEEKEND,PERÚ
THE WEEKEND,OCEANÍA
THE WEEKEND,AUSTRALIA
DRAKE,ESTADOS UNIDOS
DRAKE,CANADÁ
DRAKE,COLOMBIA
DRAKE,AUSTRALIA
DRAKE,NUEVA ZELANDA
PESO PLUMA,ESTADOS UNIDOS
PESO PLUMA,CANADÁ
PESO PLUMA,MÉXICO
PESO PLUMA,CHILE
FEID,ESTADOS UNIDOS
FEID,COLOMBIA
FEID,MÉXICO
FEID,ESPAÑA
FEID,ARGENTINA
FEID,CHILE
FEID,PERÚ
FEID,ECUADOR
FEID,REPÚBLICA DOMINICANA
FEID,PUERTO RICO
TRAVIS SCOTT,ITALIA
TRAVIS SCOTT,ESTADOS UNIDOS
TRAVIS SCOTT,AUSTRALIA
TRAVIS SCOTT,NUEVA ZELANDA
TRAVIS SCOTT,PORTUGAL
TRAVIS SCOTT,POLONIA
TRAVIS SCOTT,MÉXICO
TRAVIS SCOTT,CHILE
TRAVIS SCOTT,ARGENTINA
TRAVIS SCOTT,BRASIL
TRAVIS SCOTT,COLOMBIA
TRAVIS SCOTT,PUERTO RICO
BILLIE EILISH,MÉXICO
BILLIE EILISH,ESTADOS UNIDOS
BILLIE EILISH,REINO UNIDO
BILLIE EILISH,FRANCIA
BILLIE EILISH,ALEMANIA
BILLIE EILISH,ESPAÑA
BILLIE EILISH,PAÍSES BAJOS
BILLIE EILISH,ITALIA
BILLIE EILISH,CANADÁ
BILLIE EILISH,IRLANDA
BILLIE EILISH,AUSTRALIA
KAROL G,COLOMBIA
KAROL G,MÉXICO
KAROL G,ARGENTINA
KAROL G,CHILE
KAROL G,PERÚ
KAROL G,ECUADOR
KAROL G,PANAMÁ
KAROL G,REPÚBLICA DOMINICANA
KAROL G,ESPAÑA
KAROL G,FRANCIA
KAROL G,ITALIA
KAROL G,REINO UNIDO
KAROL G,BÉLGICA
KAROL G,PAÍSES BAJOS
KAROL G,ALEMANIA
KAROL G,SUIZA
KAROL G,SUECIA
KAROL G,NORUEGA
KAROL G,DINAMARCA
KAROL G,ESTADOS UNIDOS
KAROL G,CANADÁ
LANA DEL REY,BRASIL
LANA DEL REY,REINO UNIDO
LANA DEL REY,IRLANDA
LANA DEL REY,FRANCIA
LANA DEL REY,PAÍSES BAJOS
LANA DEL REY,ITALIA
LANA DEL REY,CANADÁ
SZA,USA
SZA,AMSTERDAM
SZA,FRANCIA
SZA,SUIZA
SZA,ALEMANIA
SZA,REINO UNIDO
SZA,IRLANDA
SZA,DINAMARCA
SZA,JAPÓN
SZA,ESPAÑA
SZA,EMIRATOS ARABES UNIDOS
